,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5920,46778810,RmWB: 3 LOCATIONS! $500-1650 MNTH•LUX•STUDENT$795,377884322,Kathryn,Near West Side,41.880790000000005,-87.68307,Private room,26,102,32,0,,0.0,9,342
5921,46778881,Bronzeville Beauty,270317679,Jana,Grand Boulevard,41.811479999999996,-87.61962,Entire home/apt,98,86,1,2,2021-02-14,2.0,1,359
5922,46778905,RmWD: 3 LOCATIONS! $500-1650 MNTH•LUX•STUDENT $795,377884322,Kathryn,Near West Side,41.88009,-87.68115999999999,Private room,26,102,32,0,,0.0,9,365
5923,46779759,RmWG: 3 LOCATIONS! $500-1650 MNTH•LUX•STUDENT $795,377884322,Kathryn,Near West Side,41.88215,-87.68266,Private room,27,102,32,0,,0.0,9,365
5924,46780055,RmWI: 3 LOCATIONS! $500-1650MNTH•PRIV KITCHEN!$500,377884322,Kathryn,Near West Side,41.880590000000005,-87.68070999999999,Private room,17,102,32,0,,0.0,9,96
5925,46783982,Welcoming & Trendy 1BR Apt in Vibrant North Center,35781467,Ariel & Sona,North Center,41.95231,-87.67593000000001,Entire home/apt,49,112,2,4,2021-02-01,1.97,17,357
5926,46784430,Modernized 1BR Apt Nestled in Vibrant North Center,35781467,Ariel & Sona,North Center,41.952459999999995,-87.67777,Entire home/apt,49,112,2,6,2021-02-01,3.0,17,363
5927,46790690,"Roomy 1BR Apt | full kitchen, tub, in-unit laundry",166918192,Brad & Sara,West Town,41.91052,-87.68039,Entire home/apt,60,100,2,6,2021-01-31,3.4,25,69
5928,46792395,2 bdrm in  Sunny Little Mexico!,376666101,Bertha,South Lawndale,41.84121,-87.72619,Entire home/apt,67,60,2,1,2021-02-14,1.0,1,365
5929,46794775,Enjoy the Lakefront from a Cozy Retreat,6617501,Nnamdi,Grand Boulevard,41.823890000000006,-87.61036,Private room,23,86,2,1,2020-12-13,0.43,13,85
5930,46795021,House of Relaxation,378142375,Laura,Morgan Park,41.68793,-87.64953,Entire home/apt,100,84,1,0,,0.0,1,139
5931,46795549,Enjoy the Lakefront from a Cozy Retreat,6617501,Nnamdi,Grand Boulevard,41.82257,-87.60931,Private room,23,86,2,0,,0.0,13,88
5932,46795888,"💯Unique private home 🏠free st parking.
Special 🔝",238767044,Haim,West Town,41.89268,-87.67919,Entire home/apt,129,100,2,3,2020-12-30,1.38,6,167
5933,46796941,Lakefront cozy retreat with Private Entrance,6617501,Nnamdi,Oakland,41.82437,-87.61055,Private room,21,92,2,1,2020-12-27,0.55,13,86
5934,46797440,Enjoy the Lakefront from a Cozy Retreat,6617501,Nnamdi,Grand Boulevard,41.82298,-87.60983,Private room,21,86,2,1,2020-12-25,0.53,13,62
5935,46797679,Enjoy the Lakefront from a Cozy Retreat,6617501,Nnamdi,Grand Boulevard,41.8226,-87.60956999999999,Private room,21,86,2,1,2021-01-08,0.7,13,68
5936,46798501,Great View Downtown Apartment  Nice Location 3,69058640,Jing,Near West Side,41.88019,-87.63897,Entire home/apt,103,102,1,9,2021-02-03,3.75,5,53
5937,46800912,"Designer 2BR | Live, Rest, Feel the Local Vibe",35781467,Ariel & Sona,Lake View,41.94424,-87.64986,Entire home/apt,55,95,2,7,2021-01-31,3.04,17,350
